v1_venomous_probability,probability_shift_toward_non_venomous,v2_uncertain,v2_venomous_probability,v2_snake_class_margin,v1_non_venomous_probability,v1_snake_class_margin,v2_top2_class,ground_truth,v2_correct,v1_top2_probability,v2_confidence_band,classification_transition,v2_non_venomous_probability,v2_confidence,probability_shift_toward_venomous,v1_margin,v1_correct,v2_margin,v1_predicted,relative_path,v2_predicted,v2_top2_probability,v1_top2_class,v1_confidence,prediction_changed
0.4062013626098633,-0.13331487774848938,YES,0.5395143628120422,0.07903245091438293,0.5937967896461487,-0.1875954270362854,Non_Venomous_Snake,Non_Venomous_Snake,NO,0.4062013626098633,LOW,Non_Venomous_Snake -> Venomous_Snake,0.4604819118976593,0.5395143628120422,0.13331300020217896,0.1875954270362854,YES,0.07903245091438293,Non_Venomous_Snake,test/Non_Venomous_Snake/112282-850x565-Yellow_Rat_Snake.jpg,Venomous_Snake,0.4604819118976593,Venomous_Snake,0.5937967896461487,YES
0.09088865667581558,-0.5334509611129761,NO,0.6240556240081787,0.24841749668121338,0.9090890884399414,-0.8182004317641258,Non_Venomous_Snake,Non_Venomous_Snake,NO,0.09088865667581558,MODERATE,Non_Venomous_Snake -> Venomous_Snake,0.37563812732696533,0.6240556240081787,0.5331669673323631,0.8182004317641258,YES,0.24841749668121338,Non_Venomous_Snake,test/Non_Venomous_Snake/1406194043645_wps_2_EXCLUSIVE_GUJARAT_INDIA_U.jpg,Venomous_Snake,0.37563812732696533,Venomous_Snake,0.9090890884399414,YES
0.42726197838783264,-0.3583953529596329,NO,0.7856552004814148,0.5713138729333878,0.5727366805076599,-0.14547470211982727,Non_Venomous_Snake,Non_Venomous_Snake,NO,0.42726197838783264,MODERATE,Non_Venomous_Snake -> Venomous_Snake,0.21434132754802704,0.7856552004814148,0.35839322209358215,0.14547470211982727,YES,0.5713138729333878,Non_Venomous_Snake,test/Non_Venomous_Snake/143197P3112612.JPG,Venomous_Snake,0.21434132754802704,Venomous_Snake,0.5727366805076599,YES
0.255136638879776,-0.32643014192581177,YES,0.5815667510032654,0.16313350200653076,0.7448633909225464,-0.4897267520427704,Non_Venomous_Snake,Non_Venomous_Snake,NO,0.255136638879776,LOW,Non_Venomous_Snake -> Venomous_Snake,0.4184332489967346,0.5815667510032654,0.3264301121234894,0.4897267520427704,YES,0.16313350200653076,Non_Venomous_Snake,test/Non_Venomous_Snake/300px-Boa.jpg,Venomous_Snake,0.4184332489967346,Venomous_Snake,0.7448633909225464,YES
0.4811239242553711,-0.29239465296268463,NO,0.7735183238983154,0.547037199139595,0.518875777721405,-0.037751853466033936,Non_Venomous_Snake,Non_Venomous_Snake,NO,0.4811239242553711,MODERATE,Non_Venomous_Snake -> Venomous_Snake,0.2264811247587204,0.7735183238983154,0.29239439964294434,0.037751853466033936,YES,0.547037199139595,Non_Venomous_Snake,test/Non_Venomous_Snake/5c3dd3dc91c4283c73c5992e0a62b28f.jpg,Venomous_Snake,0.2264811247587204,Venomous_Snake,0.518875777721405,YES
0.03864642232656479,-0.48183849453926086,YES,0.5204804539680481,0.04096534848213196,0.961353600025177,-0.9227071776986122,Non_Venomous_Snake,Non_Venomous_Snake,NO,0.03864642232656479,LOW,Non_Venomous_Snake -> Venomous_Snake,0.47951510548591614,0.5204804539680481,0.4818340316414833,0.9227071776986122,YES,0.04096534848213196,Non_Venomous_Snake,test/Non_Venomous_Snake/83.jpg,Venomous_Snake,0.47951510548591614,Venomous_Snake,0.961353600025177,YES
0.18067912757396698,-0.6786027550697327,NO,0.8592814803123474,0.7185633182525635,0.8193209171295166,-0.6386417895555496,Non_Venomous_Snake,Non_Venomous_Snake,NO,0.18067912757396698,HIGH,Non_Venomous_Snake -> Venomous_Snake,0.14071816205978394,0.8592814803123474,0.6786023527383804,0.6386417895555496,YES,0.7185633182525635,Non_Venomous_Snake,test/Non_Venomous_Snake/banded-racer-argyrogena-fasciolata-juvenile-non-venomous-locality-h9et85.jpg,Venomous_Snake,0.14071816205978394,Venomous_Snake,0.8193209171295166,YES
0.31956079602241516,-0.25409606099128723,YES,0.5736656188964844,0.1473323404788971,0.6804293394088745,-0.36086854338645935,Non_Venomous_Snake,Non_Venomous_Snake,NO,0.31956079602241516,LOW,Non_Venomous_Snake -> Venomous_Snake,0.4263332784175873,0.5736656188964844,0.2541048228740692,0.36086854338645935,YES,0.1473323404788971,Non_Venomous_Snake,test/Non_Venomous_Snake/yellow-spotted-keelback-11-26-10-in-payao-province-31.jpg,Venomous_Snake,0.4263332784175873,Venomous_Snake,0.6804293394088745,YES
0.7065824866294861,0.3047821521759033,YES,0.40180036425590515,-0.19639930129051208,0.2934175133705139,0.41316497325897217,Venomous_Snake,Venomous_Snake,NO,0.2934175133705139,LOW,Venomous_Snake -> Non_Venomous_Snake,0.5981996655464172,0.5981996655464172,-0.30478212237358093,0.41316497325897217,YES,0.19639930129051208,Venomous_Snake,test/Venomous_Snake/01DSC_6599.JPG,Non_Venomous_Snake,0.40180036425590515,Non_Venomous_Snake,0.7065824866294861,YES
0.7666494846343994,-0.0009192331053782254,NO,0.01060347631573677,0.010529007558943704,0.0009937018621712923,0.7656557827722281,Cow,Venomous_Snake,NO,0.17662347853183746,HIGH,Venomous_Snake -> Deer,7.446875679306686e-05,0.9695917367935181,-0.7560460083186626,0.590026006102562,YES,0.9503961950540543,Venomous_Snake,test/Venomous_Snake/3CA83C7400000578-4172360-image-m-57_1485792904526.jpg,Deer,0.019195541739463806,Deer,0.7666494846343994,YES
