image_path,relative_path,filename,parent_class,species,sha256,width,height,repository_source,repository_provenance,repository_license,individual_image_rights,training_reuse_rights,exact_duplicate,exact_duplicate_match,near_duplicate_status,near_duplicate_match,near_duplicate_score,frozen_test_leakage_status,frozen_test_match,label_status,quality_status,technical_status,manual_review_required,exclusion_reason,notes,auto_resolution_source,auto_decision
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Banded Racer\snake.JPG,Non-Venomous/Banded Racer/snake.JPG,snake.JPG,Non-Venomous,Banded Racer,ca5836096e419b5ccebfa0aa51da86ede858e5ac42f6a22e9914b1e94546fae2,1600,987,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,NOT_DUPLICATE,,,NOT_TEST_LEAKAGE,,DIRECTORY_LABEL_PRESERVED,BASIC_QUALITY_PASS,TECHNICALLY_ELIGIBLE_RIGHTS_UNCLEAR,False,,"Readable, technically unique, leakage-safe, and without unresolved label/quality conflict; technical status does not establish training/reuse rights",ORIGINAL_TECHNICALLY_ELIGIBLE,NOT_APPLICABLE
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Banded Racer\wildclicks.jpg,Non-Venomous/Banded Racer/wildclicks.jpg,wildclicks.jpg,Non-Venomous,Banded Racer,0d37a30940448166f5defd42cd5b9d4a9e895c04c05b7fd646c613c989f3a56c,620,407,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,NOT_DUPLICATE,,,NOT_TEST_LEAKAGE,,DIRECTORY_LABEL_PRESERVED,BASIC_QUALITY_PASS,TECHNICALLY_ELIGIBLE_RIGHTS_UNCLEAR,False,,"Readable, technically unique, leakage-safe, and without unresolved label/quality conflict; technical status does not establish training/reuse rights",ORIGINAL_TECHNICALLY_ELIGIBLE,NOT_APPLICABLE
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\03.jpg,Non-Venomous/Checkered Keelback/03.jpg,03.jpg,Non-Venomous,Checkered Keelback,8f69826f9b701e7647172d55b60050326a3b01d62f5a9f6406b3cd9f049ad0fa,640,432,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,NOT_DUPLICATE,,,NOT_TEST_LEAKAGE,,DIRECTORY_LABEL_PRESERVED,BASIC_QUALITY_PASS,TECHNICALLY_ELIGIBLE_RIGHTS_UNCLEAR,False,,"Readable, technically unique, leakage-safe, and without unresolved label/quality conflict; technical status does not establish training/reuse rights",ORIGINAL_TECHNICALLY_ELIGIBLE,NOT_APPLICABLE
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\14587184738_dc5b7b3054_b.jpg,Non-Venomous/Checkered Keelback/14587184738_dc5b7b3054_b.jpg,14587184738_dc5b7b3054_b.jpg,Non-Venomous,Checkered Keelback,7c845fe9f2de9977afd3b5e0473106629130e2d1c7a6e6df6ae45fa7bd47017c,1024,683,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,NOT_DUPLICATE,,,NOT_TEST_LEAKAGE,,DIRECTORY_LABEL_PRESERVED,BASIC_QUALITY_PASS,TECHNICALLY_ELIGIBLE_RIGHTS_UNCLEAR,False,,"Readable, technically unique, leakage-safe, and without unresolved label/quality conflict; technical status does not establish training/reuse rights",ORIGINAL_TECHNICALLY_ELIGIBLE,NOT_APPLICABLE
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\1474640693Checkered Keelback ( Samanya dhoria sanp).JPG,Non-Venomous/Checkered Keelback/1474640693Checkered Keelback ( Samanya dhoria sanp).JPG,1474640693Checkered Keelback ( Samanya dhoria sanp).JPG,Non-Venomous,Checkered Keelback,eb781c82081c282b59871b13ae8453ed6c8099954670bc86e9350c2ae65d6a36,600,397,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,NOT_DUPLICATE,,,NOT_TEST_LEAKAGE,,DIRECTORY_LABEL_PRESERVED,BASIC_QUALITY_PASS,TECHNICALLY_ELIGIBLE_RIGHTS_UNCLEAR,False,,"Readable, technically unique, leakage-safe, and without unresolved label/quality conflict; technical status does not establish training/reuse rights",ORIGINAL_TECHNICALLY_ELIGIBLE,NOT_APPLICABLE
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\20390939692_0c4df08d01_k.jpg,Non-Venomous/Checkered Keelback/20390939692_0c4df08d01_k.jpg,20390939692_0c4df08d01_k.jpg,Non-Venomous,Checkered Keelback,d905fd226926f4b1c7ee4502b052f4c27a385d6674610231bef1041a302bdce9,2048,1365,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,NOT_DUPLICATE,,,NOT_TEST_LEAKAGE,,DIRECTORY_LABEL_PRESERVED,BASIC_QUALITY_PASS,TECHNICALLY_ELIGIBLE_RIGHTS_UNCLEAR,False,,"Readable, technically unique, leakage-safe, and without unresolved label/quality conflict; technical status does not establish training/reuse rights",ORIGINAL_TECHNICALLY_ELIGIBLE,NOT_APPLICABLE
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\233_s.jpg,Non-Venomous/Checkered Keelback/233_s.jpg,233_s.jpg,Non-Venomous,Checkered Keelback,090723c19f1eea3bcddbced85c18606995fd0429e654b2eeea1bd53a99f14ff9,1201,800,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,NOT_DUPLICATE,,,NOT_TEST_LEAKAGE,,DIRECTORY_LABEL_PRESERVED,BASIC_QUALITY_PASS,TECHNICALLY_ELIGIBLE_RIGHTS_UNCLEAR,False,,"Readable, technically unique, leakage-safe, and without unresolved label/quality conflict; technical status does not establish training/reuse rights",ORIGINAL_TECHNICALLY_ELIGIBLE,NOT_APPLICABLE
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\483d1b4810b93241b433267681151497--snakes-animals.jpg,Non-Venomous/Checkered Keelback/483d1b4810b93241b433267681151497--snakes-animals.jpg,483d1b4810b93241b433267681151497--snakes-animals.jpg,Non-Venomous,Checkered Keelback,5ad014bdd9267a7f85acf8c068130f503088f59a7e0220ce25c07a92c44b123b,736,551,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,NOT_DUPLICATE,,,NOT_TEST_LEAKAGE,,DIRECTORY_LABEL_PRESERVED,BASIC_QUALITY_PASS,TECHNICALLY_ELIGIBLE_RIGHTS_UNCLEAR,False,,"Readable, technically unique, leakage-safe, and without unresolved label/quality conflict; technical status does not establish training/reuse rights",ORIGINAL_TECHNICALLY_ELIGIBLE,NOT_APPLICABLE
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\6069690177_f5cd0dbe69_o.jpg,Non-Venomous/Checkered Keelback/6069690177_f5cd0dbe69_o.jpg,6069690177_f5cd0dbe69_o.jpg,Non-Venomous,Checkered Keelback,5aba4240384c6959dbfb8980ccf8225a44da5052e113fd38465932d06514cef4,800,533,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,NOT_DUPLICATE,,,NOT_TEST_LEAKAGE,,DIRECTORY_LABEL_PRESERVED,BASIC_QUALITY_PASS,TECHNICALLY_ELIGIBLE_RIGHTS_UNCLEAR,False,,"Readable, technically unique, leakage-safe, and without unresolved label/quality conflict; technical status does not establish training/reuse rights",ORIGINAL_TECHNICALLY_ELIGIBLE,NOT_APPLICABLE
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\7170810054_1373b1b24f_b.jpg,Non-Venomous/Checkered Keelback/7170810054_1373b1b24f_b.jpg,7170810054_1373b1b24f_b.jpg,Non-Venomous,Checkered Keelback,b7945cfae0931f10626a060f7a79d3cac37c1d36c5a8bc9227df01b77929f523,1024,547,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,NOT_DUPLICATE,,,NOT_TEST_LEAKAGE,,DIRECTORY_LABEL_PRESERVED,BASIC_QUALITY_PASS,TECHNICALLY_ELIGIBLE_RIGHTS_UNCLEAR,False,,"Readable, technically unique, leakage-safe, and without unresolved label/quality conflict; technical status does not establish training/reuse rights",ORIGINAL_TECHNICALLY_ELIGIBLE,NOT_APPLICABLE
